model,example,source_setup,p,n0,N,T,replicate,selected_sources,num_selected_sources
linear,exm1,exm1_6source_shift,5,250,5000,500,250,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,251,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,252,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,253,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,254,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,255,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,256,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,257,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,258,,0
linear,exm1,exm1_6source_shift,5,250,5000,500,259,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,260,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,261,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,262,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,263,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,264,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,265,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,266,,0
linear,exm1,exm1_6source_shift,5,250,5000,500,267,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,268,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,269,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,270,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,271,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,272,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,273,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,274,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,275,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,276,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,277,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,278,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,279,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,280,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,281,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,282,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,283,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,284,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,285,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,286,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,287,,0
linear,exm1,exm1_6source_shift,5,250,5000,500,288,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,289,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,290,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,291,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,292,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,293,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,294,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,295,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,296,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,297,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,298,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,299,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,300,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,301,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,302,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,303,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,304,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,305,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,306,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,307,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,308,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,309,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,310,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,311,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,312,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,313,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,314,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,315,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,316,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,317,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,318,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,319,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,320,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,321,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,322,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,323,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,324,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,325,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,326,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,327,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,328,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,329,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,330,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,331,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,332,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,333,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,334,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,335,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,336,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,337,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,338,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,339,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,340,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,341,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,342,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,343,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,344,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,345,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,346,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,347,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,348,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,349,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,350,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,351,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,352,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,353,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,354,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,355,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,356,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,357,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,358,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,359,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,360,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,361,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,362,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,363,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,364,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,365,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,366,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,367,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,368,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,369,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,370,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,371,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,372,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,373,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,374,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,375,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,376,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,377,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,378,"m1s1,m2s2,m3s3,m4s4",4
linear,exm1,exm1_6source_shift,5,250,5000,500,379,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,380,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,381,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,382,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,383,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,384,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,385,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,386,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,387,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,388,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,389,,0
linear,exm1,exm1_6source_shift,5,250,5000,500,390,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,391,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,392,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,393,"m1s1,m2s2,m3s3,m4s4",4
linear,exm1,exm1_6source_shift,5,250,5000,500,394,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,395,,0
linear,exm1,exm1_6source_shift,5,250,5000,500,396,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,397,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,398,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,399,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,400,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,401,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,402,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,403,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,404,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,405,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,406,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,407,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,408,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,409,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,410,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,411,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,412,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,413,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,414,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,415,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,416,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,417,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,418,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,419,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,420,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,421,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,422,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,423,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,424,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,425,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,426,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,427,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,428,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,429,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,430,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,431,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,432,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,433,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,434,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,435,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,436,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,437,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,438,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,439,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,440,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,441,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,442,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,443,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,444,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,445,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,446,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,447,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,448,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,449,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,450,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,451,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,452,,0
linear,exm1,exm1_6source_shift,5,250,5000,500,453,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,454,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,455,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,456,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,457,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,458,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,459,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,460,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,461,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,462,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,463,,0
linear,exm1,exm1_6source_shift,5,250,5000,500,464,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,465,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,466,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,467,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,468,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,469,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,470,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,471,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,472,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,473,,0
linear,exm1,exm1_6source_shift,5,250,5000,500,474,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,475,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,476,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,477,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,478,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,479,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,480,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,481,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,482,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,483,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,484,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,485,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,486,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,487,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,488,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,489,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,490,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,491,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,492,"m1s1,m2s2,m3s3,m4s4",4
linear,exm1,exm1_6source_shift,5,250,5000,500,493,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,494,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,495,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,496,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,497,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,498,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,499,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,500,,0
